counter,time,right_j0,right_j1,right_j2,right_j3,right_j4,right_j5,right_j6,cube_pose_x,cube_pose_y,right_gripper
149,30.906000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
150,31.106000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
151,31.309000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
152,31.509000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,0.21,0.0
153,31.710000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,0.21,0.0
154,31.925000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
155,32.126000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.64,-0.32,0.0
156,32.326000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.64,-0.32,0.0
157,32.527000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
158,32.833000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.64,-0.32,0.0
159,33.033000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.5,-0.23,0.0
160,33.233000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,-0.23,0.0
161,33.433000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.5,-0.23,0.0
162,33.685000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
163,33.885000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.63,0.24,0.0
164,34.085000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
165,34.288000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.63,0.24,0.0
166,34.570000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.62,0.09,0.0
167,34.771000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.62,0.09,0.0
168,34.973000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.62,0.09,0.0
169,35.174000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.62,0.09,0.0
170,35.431000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
171,35.633000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
172,35.834000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.56,-0.15,0.0
173,36.035000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
174,36.299000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.56,-0.15,0.0
175,36.499000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.67,0.25,0.0
176,36.700000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.67,0.25,0.0
177,36.900000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.67,0.25,0.0
178,37.101000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415503,0.68,0.36,0.0
179,37.301000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
180,37.504000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
181,37.707000,-0.301976027848,1.56898957787,0.137490344443,0.116611320355,-0.0435902644642,-0.131382659075,0.0293562415504,0.68,0.36,0.0
